,Player,Assists,xG
49,Lionel Messi,Rodrigo De Paul,0.0
50,Marcos Acuña,Cristian Romero,0.0
51,Leandro Paredes,Lionel Messi,0.0
52,Enzo Fernández,Enzo Fernández,0.0
53,Lionel Messi,Ángel Di María,0.0
54,Ángel Di María,Leandro Paredes,0.0
55,Gonzalo Montiel,Ángel Di María,0.0
56,Enzo Fernández,Leandro Paredes,0.0
57,Lionel Messi,Ángel Di María,0.0
58,Alexis Mac Allister,Leandro Paredes,0.0
59,Julián Álvarez,Enzo Fernández,0.0
60,Alexis Mac Allister,Enzo Fernández,0.0
61,Lionel Messi,Rodrigo De Paul,0.0
62,Rodrigo De Paul,Alexis Mac Allister,0.0
63,Enzo Fernández,Lionel Messi,0.0
64,Lionel Messi,Lionel Messi,0.0
65,Paulo Dybala,Lionel Messi,0.0
