,Player,Player.1,xG
12,Ousmane Dembélé,Dayot Upamecano,0.0
13,Theo Hernández,Antoine Griezmann,0.0
14,Kylian Mbappé,Adrien Rabiot,0.0
15,Aurélien Tchouaméni,Adrien Rabiot,0.0
16,Theo Hernández,Kylian Mbappé,0.0
18,Kingsley Coman,Kingsley Coman,0.0
19,Theo Hernández,Kylian Mbappé,0.0
20,Antoine Griezmann,Jules Koundé,0.0
1,Youssouf Fofana,Aurélien Tchouaméni,0.0
2,Aurélien Tchouaméni,Ibrahima Konaté,0.0
5,William Saliba,Adrien Rabiot,0.0
6,Ousmane Dembélé,Kylian Mbappé,0.0
7,Kylian Mbappé,Kylian Mbappé,0.0
8,Antoine Griezmann,Kylian Mbappé,0.0
9,Kylian Mbappé,Antoine Griezmann,0.0
1,Antoine Griezmann,Jules Koundé,0.0
2,Kylian Mbappé,Adrien Rabiot,0.0
3,Adrien Rabiot,Kylian Mbappé,0.0
5,Aurélien Tchouaméni,Kylian Mbappé,0.0
6,Kylian Mbappé,Antoine Griezmann,0.0
7,Antoine Griezmann,Kylian Mbappé,0.0
9,Kylian Mbappé,Dayot Upamecano,0.0
10,Ousmane Dembélé,Olivier Giroud,0.0
13,Ousmane Dembélé,Kylian Mbappé,0.0
14,Ousmane Dembélé,Olivier Giroud,0.0
15,Theo Hernández,Kylian Mbappé,0.0
16,Marcus Thuram,Kylian Mbappé,0.0
1,Ousmane Dembélé,Antoine Griezmann,0.0
2,Antoine Griezmann,Ousmane Dembélé,0.0
3,Theo Hernández,Ousmane Dembélé,0.0
4,Jules Koundé,Raphaël Varane,0.0
5,Kylian Mbappé,Antoine Griezmann,0.0
6,Theo Hernández,Adrien Rabiot,0.0
7,Ousmane Dembélé,Adrien Rabiot,0.0
8,Antoine Griezmann,Theo Hernández,0.0
1,Antoine Griezmann,Raphaël Varane,0.0
3,Ibrahima Konaté,Hugo Lloris,0.0
4,Kylian Mbappé,Theo Hernández,0.0
5,Antoine Griezmann,Antoine Griezmann,0.0
7,Aurélien Tchouaméni,Aurélien Tchouaméni,0.0
8,Aurélien Tchouaméni,Kylian Mbappé,0.0
10,Kylian Mbappé,Kylian Mbappé,0.0
11,Antoine Griezmann,Marcus Thuram,0.0
12,Marcus Thuram,Youssouf Fofana,0.0
13,Kylian Mbappé,Kylian Mbappé,0.0
